Rank,FY,Center,Standard Survey Name,Project Name in VPASS,Survey Operations
,2024,NWFSC,Northern California Current (NCC) Ecosystem Forecasting Survey -- Spring Upwelling Season Survey,Northern California Current (NCC) Ecosystem Forecasting Survey -- Spring/Summer Upwelling Season Survey,Cruise: 2024/06/05 ~ 2024/06/20 on Bell M. Shimada
,2024,NWFSC,Northern California Current (NCC) Ecosystem Forecasting_Winter,Northern California Current (NCC) Ecosystem Forecasting Survey -- Winter Preconditioning Survey,"Cruise: 2024/03/07 ~ 2024/03/13 on Bell M. Shimada
Cruise: 2024/09/19 ~ 2024/09/30 on Bell M. Shimada"
,2024,NWFSC,Southern Resident Killer Whales (SRKW)_Spring,Southern Resident Killer Whales (SRKW)_Spring,Cruise: 2024/04/10 ~ 2024/04/25 on Reuben Lasker
,2024,NWFSC,West Coast Groundfish Bottom Trawl,"Project 1 West Coast Groundfish Bottom Trawl Survey 2023 Survey Pass 2 Vessel D

Project 2 West Coast Groundfish Bottom Trawl Survey 2023 Survey Pass 2 Vessel C

Project 3 West Coast Groundfish Bottom Trawl Survey 2024 Pass 1 Survey Vessel B

Project 4 West Coast Groundfish Bottom Trawl Survey 2024 Pass 1 Survey Vessel A

Project 5 West Coast Groundfish Bottom Trawl Survey 2024 Pass 2 Survey Vessel C

Project 6 West Coast Groundfish Bottom Trawl Survey 2024 Pass 2 Survey Vessel D","Cruise: 2023/10/01 ~ 2023/10/28 on NA
Cruise: 2023/10/01 ~ 2023/10/28 on NA
Cruise: 2024/05/15 ~ 2024/07/28 on NA
Cruise: 2024/05/15 ~ 2024/07/28 on NA
Cruise: 2024/08/14 ~ 2024/09/30 on NA
Cruise: 2024/08/14 ~ 2024/09/30 on NA"
,2024,NWFSC,West Coast Rockfish Hook and Line,"Project 1 Southern California Shelf Rockfish Hook and Line Survey Leg 1, Vessel B

Project 2 Southern California Shelf Rockfish Hook and Line Survey Leg 1, Vessel A

Project 3 Southern California Shelf Rockfish Hook and Line Survey Leg 1, Vessel C","Cruise: 2024/09/01 ~ 2024/09/30 on NA
Cruise: 2024/09/01 ~ 2024/09/30 on NA
Cruise: 2024/09/01 ~ 2024/09/30 on NA"
,2024,PIFSC,American Samoa Life History Bio-sampling,American Samoa Life History Bio-sampling,Cruise: 2024/03/01 ~ 2024/08/31 on NA
,2024,PIFSC,Bigeye Tuna Fishery Oceanography,Bigeye Oceanography - Leg 1,Cruise: 2024/03/22 ~ 2024/04/20 on Oscar Elton Sette
,2024,PIFSC,Bottomfish Fishery-Independent in Hawaii (BFISH),Bottomfish Fishery-Independent in Hawaii (BFISH),Cruise: 2024/08/01 ~ 2024/09/30 on NA
,2024,PIFSC,Fisheries Oceanography - Climate Change,Fisheries Oceanography - Climate Change - gear intercomparison and technician training to increase sampling capabilities of seagoing staff,Cruise: 2024/02/11 ~ 2024/02/15 on Oscar Elton Sette
,2024,PIFSC,Hawaiian Monk Seal and Turtle Population Assessment and Recovery Activities,Hawaiian Monk Seal and Turtle Population Assessment and Recovery Activities - Deployment,Cruise: 2024/04/26 ~ 2024/05/25 on Oscar Elton Sette
,2024,PIFSC,Main Hawaiian Island (MHI) Insular Bottomfish Survey_Spring,BFISH_2024_RD: MHI Insular Bottomfish Survey Research and Development (Spring),Cruise: 2024/03/01 ~ 2024/03/15 on Oscar Elton Sette
,2024,PIFSC,Mariana Archipelago Life History Bio-sampling,Mariana Archipelago Life History Bio-sampling for bottomfish management unit species and coral reef ecosystem component species (Charter),Cruise: 2024/03/01 ~ 2024/08/31 on NA
,2024,PIFSC,PIFSC - Hawaiian Islands Cetacean and Ecosystem Assessment Survey (HICEAS),PIFSC - Hawaiian Islands Cetacean and Ecosystem Assessment Survey (HICEAS),Cruise: 2023/10/01 ~ 2023/11/26 on Oscar Elton Sette
,2024,SEFSC,"Gulf of Mexico Cetacean, Sea bird and Sea Turtle Assessment Survey",Gulf of Mexico Marine Mammal Assessment Survey - DWH NRDA Open Ocean Monitoring and Adaptive Management,"Cruise: 2024/06/01 ~ 2024/06/25 on Gordon Gunter
Cruise: 2024/07/01 ~ 2024/07/20 on Gordon Gunter
Cruise: 2024/07/25 ~ 2024/08/13 on Gordon Gunter"
,2024,SEFSC,MDBC Mesophotic Multi-Mission,Mesophotic and Deep Benthic Community Restoration. Mesophotic Multi-Mission,"Cruise: 2024/06/05 ~ 2024/06/19 on PISCES
Cruise: 2024/06/25 ~ 2024/07/09 on PISCES
Cruise: 2024/07/13 ~ 2024/07/27 on PISCES"
,2024,SEFSC,SEAMAP Gulf of Mexico Reef Fish,SEAMAP Gulf of Mexico Reef Fish,"Cruise: 2024/03/22 ~ 2024/04/05 on PISCES
Cruise: 2024/04/10 ~ 2024/04/24 on PISCES
Cruise: 2024/04/28 ~ 2024/05/12 on PISCES
Cruise: 2024/05/17 ~ 2024/05/31 on PISCES"
,2024,SEFSC,SEAMAP Plankton_Fall,SEAMAP (Southeast Area Monitoring and Assessment Program) Fall Plankton Survey,"Cruise: 2024/08/27 ~ 2024/09/09 on Gordon Gunter
Cruise: 2024/09/14 ~ 2024/09/30 on Gordon Gunter"
,2024,SEFSC,SEAMAP Plankton_Spring,SEAMAP (Southeast Area Monitoring and Assessment Program) Spring Plankton Survey,"Cruise: 2024/03/26 ~ 2024/04/14 on Oregon II
Cruise: 2024/04/25 ~ 2024/05/10 on Oregon II
Cruise: 2024/05/13 ~ 2024/05/28 on Oregon II"
,2024,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,"Cruise: 2023/10/05 ~ 2023/10/19 on Oregon II
Cruise: 2023/10/21 ~ 2023/11/04 on Oregon II
Cruise: 2023/11/07 ~ 2023/11/18 on Oregon II"
,2024,SEFSC,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,"Cruise: 2024/06/01 ~ 2024/06/15 on Oregon II
Cruise: 2024/06/17 ~ 2024/07/01 on Oregon II
Cruise: 2024/07/08 ~ 2024/07/18 on Oregon II"
,2024,SEFSC,SEFSC Shark/Red Snapper Bottom Longline Survey,SEFSC Shark/Red Snapper Bottom Longline Survey,"Cruise: 2024/07/22 ~ 2024/08/07 on Oregon II
Cruise: 2024/08/09 ~ 2024/08/25 on Oregon II
Cruise: 2024/08/31 ~ 2024/09/14 on Oregon II
Cruise: 2024/09/16 ~ 2024/09/30 on Oregon II"
,2024,SEFSC,Southeast Fishery-Independent Survey (SEFIS),SouthEast Fishery-Independent Survey (SEFIS) - NOAA ship,"Cruise: 2024/08/02 ~ 2024/08/08 on PISCES
Cruise: 2024/08/12 ~ 2024/08/23 on PISCES
Cruise: 2024/08/27 ~ 2024/09/07 on PISCES
Cruise: 2024/09/11 ~ 2024/09/30 on PISCES
Cruise: 2024/05/01 ~ 2024/09/30 on NA"
,2024,ST,Deep Water Coral Habitats,Northeast Deep Water Coral Habitats,Cruise: 2024/07/18 ~ 2024/08/01 on Henry B. Bigelow
,2024,SWFSC,CalCOFI_Fall,CalCOFI Fall,Cruise: 2023/10/01 ~ 2023/11/20 on NA
,2024,SWFSC,CalCOFI_Spring,CalCOFI Spring,"Cruise: 2024/03/18 ~ 2024/03/22 on Bell M. Shimada
Cruise: 2024/03/26 ~ 2024/04/23 on Bell M. Shimada"
,2024,SWFSC,CalCOFI_Summer,CalCOFI Summer,Cruise: 2024/07/01 ~ 2024/07/31 on NA
,2024,SWFSC,CalCOFI_Winter,CalCOFI Winter,"Cruise: 2024/01/05 ~ 2024/01/17 on Reuben Lasker
Cruise: 2024/01/18 ~ 2024/02/03 on Reuben Lasker"
,2024,SWFSC,Coastal Pelagic Species (CPS)_Summer,Coastal Pelagic Species (CPS)_Summer,"Cruise: 2023/10/10 ~ 2023/11/03 on Bell M. Shimada
Cruise: 2024/06/26 ~ 2024/07/20 on Reuben Lasker
Cruise: 2024/07/25 ~ 2024/08/15 on Reuben Lasker
Cruise: 2024/08/20 ~ 2024/09/12 on Reuben Lasker
Cruise: 2024/09/17 ~ 2024/09/30 on Reuben Lasker"
,2024,SWFSC,Hawaiian Islands Cetacean and Ecosystem Assessment Survey (HICEAS),HICEAS,"Cruise: 2023/10/12 ~ 2023/11/03 on Reuben Lasker
Cruise: 2023/11/09 ~ 2023/12/05 on Reuben Lasker"
,2024,SWFSC,Joint Survey Preparations,Joint Survey Preparations,Cruise: 2023/12/11 ~ 2023/12/15 on Reuben Lasker
,2024,SWFSC,Juvenile Rockfish Survey,Juvenile Rockfish Survey,"Cruise: 2024/05/01 ~ 2024/05/23 on Reuben Lasker
Cruise: 2024/05/28 ~ 2024/06/18 on Reuben Lasker"
