"Q1","Q2","Q3","Q4"
"Mustelus _ canis","Katsuwonus _ pelamis","Prionace _ glauca","Limanda _ aspera"
"Mustelus _ norrisi","Katsuwonus _ pelamis","Prionace _ glauca","Lithodes _ aequispinus"
"Mustelus _ sinusmexicanus","Katsuwonus _ pelamis","Raja _ binoculata","Lithodes _ aequispinus"
"Mycteroperca _ bonaci","Lepidopsetta _ polyxystra","Raja _ binoculata","Lithodes _ aequispinus"
"Naso _ brevirostris","Lepidopsetta _ polyxystra","Raja _ binoculata","Lithodes _ aequispinus"
"Naso _ hexacanthus","Lepidopsetta _ polyxystra","Raja _ binoculata","Litopenaeus _ setiferus"
"Naso _ unicornis","Lepidopsetta _ polyxystra","Raja _ eglanteria","Lophius _ americanus"
"Pleuronectes _ quadrituberculatus","Lepidopsetta _ polyxystra","Raja _ rhina","Lophius _ americanus"
"Psettichthys _ melanostictus","Lethrinus _ rubrioperculatus","Raja _ rhina","Lutjanus _ analis"
"Psettichthys _ melanostictus","Lethrinus _ rubrioperculatus","Raja _ rhina","Lutjanus _ griseus"
"Scarus _ altipinnis","Lethrinus _ rubrioperculatus","Reinhardtius _ hippoglossoides","Makaira _ nigricans"
"Scarus _ coelestinus","Limanda _ aspera","Sebastes _ alutus","Makaira _ nigricans"
"Scarus _ coeruleus","Limanda _ proboscidea","Sebastes _ alutus","Merluccius _ bilinearis"
"Scarus _ dubius","Limanda _ sakhalinensis","Sebastes _ alutus","Merluccius _ bilinearis"
"Scarus _ guacamaia","Litopenaeus _ setiferus","Sebastes _ borealis","Ocyurus _ chrysurus"
"Scarus _ taeniopterus","Loligo _ pealeii","Sebastes _ borealis","Pagrus _ pagrus"
"Scarus _ vetula","Lutjanus _ campechanus","Sebastes _ crameri","Panulirus _ argus"
"Scomber _ scombrus","Lutjanus _ campechanus","Sebastes _ diploproa","Panulirus _ argus"
"Sebastes _ aleutianus","Lutjanus _ fulvus","Sebastes _ entomelas","Panulirus _ argus"
"Sebastes _ aleutianus","Lutjanus _ gibbus","Sebastes _ fasciatus","Paralichthys _ dentatus"
"Sebastes _ aleutianus","Lutjanus _ kasmira","Sebastes _ flavidus","Paralithodes _ camtschaticus"
"Sebastes _ aleutianus","Lutjanus _ kasmira","Sebastes _ goodei","Paralithodes _ camtschaticus"
"Sebastes _ aleutianus","Lutjanus _ kasmira","Sebastes _ levis","Paralithodes _ camtschaticus"
"Sebastes _ aleutianus","Lutjanus _ synagris","Sebastes _ melanops","Paralithodes _ camtschaticus"
"Sebastes _ aleutianus","Melanogrammus _ aeglefinus","Sebastes _ melanostomus","Paralithodes _ platypus"
"Sebastes _ auriculatus","Melanogrammus _ aeglefinus","Sebastes _ melanostomus","Paralithodes _ platypus"
"Sebastes _ aurora","Melanogrammus _ aeglefinus","Sebastes _ paucispinis","Parophrys _ vetulus"
"Sebastes _ aurora","Merluccius _ albidus","Sebastes _ pinniger","Patinopecten _ caurinus"
"Sebastes _ babcocki","Monotaxis _ grandoculis","Sebastes _ polyspinis","Peprilus _ triacanthus"
"Sebastes _ brevispinis","Mulloidichthys _ flavolineatus","Sebastes _ polyspinis","Placopecten _ magellanicus"
"Sebastes _ carnatus","Mulloidichthys _ vanicolensis","Sebastes _ ruberrimus","Platichthys _ stellatus"
"Sebastes _ caurinus","Myoxocephalus _ jaok","Sebastes _ saxicola","Pleoticus _ robustus"
"Sebastes _ caurinus","Myoxocephalus _ polyacanthocephalus","Sebastes _ variabilis","Pollachius _ virens"
"Sebastes _ caurinus","Myoxocephalus _ polyacanthocephalus","Sebastolobus _ alascanus","Pomatomus _ saltatrix"
"Sebastes _ caurinus","Myoxocephalus _ scorpius","Sebastolobus _ alascanus","Pseudopleuronectes _ americanus"
"Sebastes _ caurinus","Nautichthys _ oculofasciatus","Sebastolobus _ alascanus","Ranina _ ranina"
"Sebastes _ chlorostictus","Nautichthys _ pribilovius","Sebastolobus _ altivelis","Rhizoprionodon _ terraenovae"
"Sebastes _ chrysomelas","Oncorhynchus _ gorbuscha","Squalus _ acanthias","Rhizoprionodon _ terraenovae"
"Sebastes _ crameri","Oncorhynchus _ kisutch","Squalus _ acanthias","Rhomboplites _ aurorubens"
"Sebastes _ crocotulus","Oncorhynchus _ kisutch","Squalus _ suckleyi","Rhomboplites _ aurorubens"
"Sebastes _ crocotulus","Oncorhynchus _ kisutch","Squalus _ suckleyi","Scomberomorus _ cavalla"
"Sebastes _ diaconus","Oncorhynchus _ kisutch","Squalus _ suckleyi","Scomberomorus _ cavalla"
"Sebastes _ diaconus","Oncorhynchus _ kisutch","Thunnus _ thynnus","Scomberomorus _ maculatus"
"Sebastes _ diploproa","Oncorhynchus _ kisutch","Urophycis _ tenuis","Scomberomorus _ maculatus"
"Sebastes _ elongatus","Oncorhynchus _ kisutch",NA,"Scophthalmus _ aquosus"
"Sebastes _ elongatus","Oncorhynchus _ kisutch",NA,"Scophthalmus _ aquosus"
"Sebastes _ entomelas","Oncorhynchus _ kisutch",NA,"Scorpaena _ guttata"
"Sebastes _ flavidus","Oncorhynchus _ kisutch",NA,"Scorpaenichthys _ marmoratus"
"Sebastes _ flavidus","Oncorhynchus _ kisutch",NA,"Seriola _ dumerili"
"Sebastes _ goodei","Oncorhynchus _ kisutch",NA,"Somniosus _ pacificus"
"Sebastes _ helvomaculatus","Oncorhynchus _ kisutch",NA,"Spisula _ solidissima"
"Sebastes _ hopkinsi","Oncorhynchus _ kisutch",NA,"Stenotomus _ chrysops"
"Sebastes _ jordani","Oncorhynchus _ kisutch",NA,"Thunnus _ alalunga"
"Sebastes _ jordani","Oncorhynchus _ kisutch",NA,"Thunnus _ alalunga"
"Sebastes _ maliger","Oncorhynchus _ kisutch",NA,"Thunnus _ albacares"
"Sebastes _ maliger","Oncorhynchus _ kisutch",NA,"Thunnus _ obesus"
"Sebastes _ maliger","Oncorhynchus _ kisutch",NA,"Thunnus _ obesus"
"Sebastes _ maliger","Oncorhynchus _ kisutch",NA,"Thunnus _ orientalis"
"Sebastes _ melanops","Oncorhynchus _ kisutch",NA,"Urophycis _ chuss"
"Sebastes _ melanops","Oncorhynchus _ kisutch",NA,"Urophycis _ chuss"
"Sebastes _ melanops","Oncorhynchus _ kisutch",NA,"Variola _ louti"
"Sebastes _ melanops","Oncorhynchus _ kisutch",NA,"Variola _ louti"
"Sebastes _ melanostictus","Oncorhynchus _ kisutch",NA,"Xiphias _ gladius"
"Sebastes _ melanostictus","Oncorhynchus _ tshawytscha",NA,"Xiphias _ gladius"
"Sebastes _ melanostictus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ melanostictus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ melanostictus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ miniatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ miniatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ miniatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ miniatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ miniatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ mystinus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ mystinus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ mystinus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ nebulosus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ nebulosus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ nebulosus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ nebulosus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ nigrocinctus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ paucispinis","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ pinniger","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ polyspinis","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ proriger","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ reedi","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ ruberrimus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ ruberrimus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ rufus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ saxicola","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ variabilis","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ variegatus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ wilsoni","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ zacentrus","Oncorhynchus _ tshawytscha",NA,NA
"Sebastes _ zacentrus","Oncorhynchus _ tshawytscha",NA,NA
"Sphyrna _ lewini","Oncorhynchus _ tshawytscha",NA,NA
"Sphyrna _ tiburo","Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Oncorhynchus _ tshawytscha",NA,NA
NA,"Ophiodon _ elongatus",NA,NA
NA,"Ophiodon _ elongatus",NA,NA
NA,"Panulirus _ argus",NA,NA
NA,"Parophrys _ vetulus",NA,NA
NA,"Parophrys _ vetulus",NA,NA
NA,"Parupeneus _ insularis",NA,NA
NA,"Parupeneus _ porphyreus",NA,NA
NA,"Platichthys _ stellatus",NA,NA
NA,"Platichthys _ stellatus",NA,NA
NA,"Platichthys _ stellatus",NA,NA
NA,"Platichthys _ stellatus",NA,NA
NA,"Pleuronichthys _ decurrens",NA,NA
NA,"Pristipomoides _ auricilla",NA,NA
NA,"Pristipomoides _ auricilla",NA,NA
NA,"Pristipomoides _ filamentosus",NA,NA
NA,"Pristipomoides _ filamentosus",NA,NA
NA,"Pristipomoides _ filamentosus",NA,NA
NA,"Pristipomoides _ filamentosus",NA,NA
NA,"Pristipomoides _ filamentosus",NA,NA
NA,"Pristipomoides _ flavipinnis",NA,NA
NA,"Pristipomoides _ flavipinnis",NA,NA
NA,"Pristipomoides _ flavipinnis",NA,NA
NA,"Pristipomoides _ sieboldii",NA,NA
NA,"Pristipomoides _ sieboldii",NA,NA
NA,"Pristipomoides _ sieboldii",NA,NA
NA,"Pristipomoides _ zonatus",NA,NA
NA,"Pristipomoides _ zonatus",NA,NA
NA,"Pristipomoides _ zonatus",NA,NA
NA,"Pristipomoides _ zonatus",NA,NA
NA,"Pseudopleuronectes _ americanus",NA,NA
NA,"Pseudopleuronectes _ americanus",NA,NA
NA,"Rachycentron _ canadum",NA,NA
NA,"Rhizoprionodon _ terraenovae",NA,NA
NA,"Salmo _ salar",NA,NA
NA,"Sardinops _ sagax",NA,NA
NA,"Scarus _ iseri",NA,NA
NA,"Scarus _ psittacus",NA,NA
NA,"Scarus _ rubroviolaceus",NA,NA
NA,"Scarus _ rubroviolaceus",NA,NA
NA,"Scomber _ japonicus",NA,NA
NA,"Scorpaenichthys _ marmoratus",NA,NA
NA,"Scorpaenichthys _ marmoratus",NA,NA
NA,"Scorpaenichthys _ marmoratus",NA,NA
NA,"Scorpaenichthys _ marmoratus",NA,NA
NA,"Seriola _ dumerili",NA,NA
NA,"Sicyonia _ brevirostris",NA,NA
NA,"Sparisoma _ aurofrenatum",NA,NA
NA,"Sparisoma _ chrysopterum",NA,NA
NA,"Sparisoma _ chrysopterum",NA,NA
NA,"Sparisoma _ rubripinne",NA,NA
NA,"Sparisoma _ viride",NA,NA
NA,"Thunnus _ alalunga",NA,NA
NA,"Thunnus _ albacares",NA,NA
NA,"Thunnus _ albacares",NA,NA
NA,"Thunnus _ obesus",NA,NA
NA,"Trachidermus _ fasciatus",NA,NA
NA,"Triglops _ forficatus",NA,NA
NA,"Triglops _ metopias",NA,NA
NA,"Triglops _ pingelii",NA,NA
NA,"Triglops _ scepticus",NA,NA
NA,"Xiphias _ gladius",NA,NA
NA,"Zoarces _ americanus",NA,NA
