"survey","p_score","s_score","n","spp_number","score"
"Gulf of Alaska Groundfish Bottom Trawl Survey",1.75,2.07692307692308,2,"2",1.91346153846154
"Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl",1.58020050125313,1.97300944669366,57,"3+",1.7766049739734
"Gulf of Alaska/Kenai/PWS Walleye Pollock Acoustic Trawl Survey_Winter",1.85714285714286,1.92307692307692,1,"1",1.89010989010989
"Gulf of Alaska/Shelikof Walleye Pollock Acoustic Trawl Survey_Winter",1.85714285714286,1.92307692307692,1,"1",1.89010989010989
"Gulf of Mexico Pelagic Longline",1.82142857142857,1.96153846153846,2,"2",1.89148351648352
"Hake Acoustic_Summer",1.85714285714286,1.92307692307692,1,"1",1.89010989010989
"Hawaiian Archipelago Insular Bottomfish Survey (Cooperative Research)",2,1.92307692307692,1,"1",1.96153846153846
"Juvenile Rockfish Survey",1.41071428571429,2,8,"3+",1.70535714285714
"MARMAP Reef Fish Long Bottom Longline Survey (SCDNR)",1.875,2.07692307692308,4,"3+",1.97596153846154
"MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR)",2.25714285714286,1.96923076923077,5,"3+",2.11318681318681
"Main Hawaiian Island (MHI) Insular Bottomfish Survey (Cooperative Research)",2.02040816326531,1.87912087912088,7,"3+",1.94976452119309
"Massachusetts DMF Bottom Trawl_Fall",2.09183673469388,2.13186813186813,7,"3+",2.111852433281
"Massachusetts DMF Bottom Trawl_Spring",2.32142857142857,2.19230769230769,4,"3+",2.25686813186813
"Miscellaneous Bottom Trawl Survey",2,1.92307692307692,1,"1",1.96153846153846
"NH/ME Inshore Trawl Survey (MDMF)",1.89285714285714,1.88461538461538,2,"2",1.88873626373626
"Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)",2.57142857142857,2.17307692307692,4,"3+",2.37225274725275
"Northeast Atlantic Benthic Habitat_Winter",1.78571428571429,1.92307692307692,1,"1",1.8543956043956
"Northeast Ecosystem Monitoring (EcoMon)_Fall",1.82142857142857,1.92307692307692,2,"2",1.87225274725275
"Northeast Ecosystem Monitoring (EcoMon)_Summer",1.82142857142857,1.92307692307692,2,"2",1.87225274725275
"Northeast Sea Scallop_Summer",2,2.38461538461538,1,"1",2.19230769230769
"Panama City Laboratory Reef Fish Trap/Video",2.24285714285714,2.09230769230769,5,"3+",2.16758241758242
"Reef Fish Visual Census Survey - U.S. Caribbean",2.07142857142857,2.07692307692308,1,"1",2.07417582417582
"SEAMAP Gulf of Mexico Reef Fish",2.28571428571429,1.84615384615385,1,"1",2.06593406593407
"SEAMAP Plankton_Fall",2.39285714285714,1.96153846153846,2,"2",2.1771978021978
"SEAMAP Reef Fish Camera/Trap",2.11904761904762,2,3,"3+",2.05952380952381
"SEAMAP Shark/Red Snapper Bottom Longline",2.21428571428571,2.1025641025641,3,"3+",2.15842490842491
"SEAMAP South Atlantic Coastal Trawl_Fall (SCDNR)",2.19047619047619,2.2051282051282,3,"3+",2.1978021978022
"SEAMAP South Atlantic Coastal Trawl_Spring (SCDNR)",2.5,2,1,"1",2.25
"SEAMAP South Atlantic Coastal Trawl_Summer (SCDNR)",2.42857142857143,2.07692307692308,2,"2",2.25274725274725
"SEAMAP South Atlantic Trawl_Summer",2.21428571428571,2.30769230769231,1,"1",2.26098901098901
"SEAMAP South Atlantic Trawl_Winter",2.21428571428571,2.30769230769231,1,"1",2.26098901098901
"SEAMAP-GOM Bottom Longline Survey (ADCNR)",2.28571428571429,1.84615384615385,1,"1",2.06593406593407
"SEAMAP-GOM Offshore Plankton (LDWF)",1.85714285714286,2.07692307692308,1,"1",1.96703296703297
"SEAMAP-GOM Plankton (ADCNR)",2.28571428571429,2.26923076923077,2,"2",2.27747252747253
"SEAMAP-GOM Plankton (GCRL)",2.21428571428571,2.30769230769231,1,"1",2.26098901098901
"SEAMAP-GOM Shrimp/Groundfish Trawl_Fall",2.20714285714286,2.07692307692308,10,"3+",2.14203296703297
"SEAMAP-GOM Shrimp/Groundfish Trawl_Spring",2.5,2.23076923076923,1,"1",2.36538461538462
"SEAMAP-GOM Shrimp/Groundfish Trawl_Summer",2.13392857142857,2.02884615384615,8,"3+",2.08138736263736
"SEAMAP-SA Red Drum Bottom Longline Survey (GADNR)",2.14285714285714,2,1,"1",2.07142857142857
"SEAMAP-SA Red Drum Bottom Longline Survey (SCDNR)",2.14285714285714,2.23076923076923,2,"2",2.18681318681319
"SEFSC Shark/Red Snapper Bottom Longline Survey",2.14285714285714,2.23076923076923,1,"1",2.18681318681319
"Sardine - Hake Acoustic Trawl Survey (SaKe)",1.85714285714286,1.92307692307692,1,"1",1.89010989010989
"Shrimp Survey (ASMFC) Northern Shrimp",1.85714285714286,1.84615384615385,2,"2",1.85164835164835
"Small Pelagics Survey_Fall",1.9047619047619,1.92307692307692,3,"3+",1.91391941391941
"Southeast Fishery-Independent Survey (SEFIS)",2.25510204081633,2.02197802197802,7,"3+",2.13854003139717
"West Coast Groundfish Bottom Trawl",1.58730158730159,2.08547008547009,36,"3+",1.83638583638584
"West Coast Rockfish Hook and Line",1.48214285714286,1.95192307692308,8,"3+",1.71703296703297
"West Coast Thresher Shark Longline",1.85714285714286,2.30769230769231,1,"1",2.08241758241758
