Common_name,Functional_group,Attribute_type,Attribute_name,Data_quality,Low,Moderate,High,Very_high,Mean,Component_score,Vulnerability_rank,Region
Acadian Redfish,Groundfish,Sensitivity,Population Growth Rate,2.4,0,2,8,15,3.52,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Prey Specificity,3,6,14,5,0,1.96,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Sensitivity to Ocean Acidification,0.8,22,3,0,0,1.12,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Sensitivity to Temperature,3,2,16,7,0,2.2,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Spawning Cycle,2.8,0,13,9,3,2.6,Moderate,Moderate,neva
Acadian Redfish,Groundfish,Sensitivity,Stock Size/Status,2.8,1,22,2,0,2.04,Moderate,Moderate,neva
Alewife,Diadromous,Exposure,Currents,1,7,8,3,2,2,Very High,Very High,neva
Alewife,Diadromous,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,Very High,neva
Alewife,Diadromous,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
Alewife,Diadromous,Exposure,Mean Sea Surface Salinity,3,11,5,3,1,1.7,Very High,Very High,neva
Alewife,Diadromous,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,Very High,neva
Alewife,Diadromous,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Very High,neva
Alewife,Diadromous,Exposure,Sea Level Rise,1.5,1,8,6,5,2.75,Very High,Very High,neva
Alewife,Diadromous,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Very High,neva
Alewife,Diadromous,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
Alewife,Diadromous,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,Very High,neva
Alewife,Diadromous,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
Alewife,Diadromous,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
Alewife,Diadromous,Sensitivity,Adult Mobility,2.8,11,13,1,0,1.6,High,Very High,neva
Alewife,Diadromous,Sensitivity,Complexity in Reproductive Strategy,3,0,2,16,7,3.2,High,Very High,neva
Alewife,Diadromous,Sensitivity,Dispersal of Early Life Stages,2.6,0,10,9,6,2.84,High,Very High,neva
Alewife,Diadromous,Sensitivity,Early Life History Survival and Settlement Requirements,2.4,0,2,14,9,3.28,High,Very High,neva
Alewife,Diadromous,Sensitivity,Habitat Specificity,3,4,7,10,4,2.56,High,Very High,neva
Alewife,Diadromous,Sensitivity,Other Stressors,2.2,0,4,10,11,3.28,High,Very High,neva
Alewife,Diadromous,Sensitivity,Population Growth Rate,1.4,3,15,7,0,2.16,High,Very High,neva
Alewife,Diadromous,Sensitivity,Prey Specificity,3,14,10,1,0,1.48,High,Very High,neva
Alewife,Diadromous,Sensitivity,Sensitivity to Ocean Acidification,1.8,13,11,1,0,1.52,High,Very High,neva
Alewife,Diadromous,Sensitivity,Sensitivity to Temperature,3,6,14,4,1,2,High,Very High,neva
Alewife,Diadromous,Sensitivity,Spawning Cycle,2.9,0,5,11,9,3.16,High,Very High,neva
Alewife,Diadromous,Sensitivity,Stock Size/Status,1.4,3,8,12,2,2.52,High,Very High,neva
American Eel,Diadromous,Exposure,Currents,1,2,9,8,1,2.4,Very High,High,neva
American Eel,Diadromous,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,High,neva
American Eel,Diadromous,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,High,neva
American Eel,Diadromous,Exposure,Mean Sea Surface Salinity,3,10,7,3,0,1.65,Very High,High,neva
American Eel,Diadromous,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,High,neva
American Eel,Diadromous,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,High,neva
American Eel,Diadromous,Exposure,Sea Level Rise,1.5,2,8,5,5,2.65,Very High,High,neva
American Eel,Diadromous,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,High,neva
American Eel,Diadromous,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,High,neva
American Eel,Diadromous,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,High,neva
American Eel,Diadromous,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,High,neva
American Eel,Diadromous,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,High,neva
American Eel,Diadromous,Sensitivity,Adult Mobility,3,20,5,0,0,1.2,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Complexity in Reproductive Strategy,1.9,1,10,9,5,2.72,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Dispersal of Early Life Stages,2.6,23,2,0,0,1.08,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Early Life History Survival and Settlement Requirements,1.2,1,10,13,1,2.56,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Habitat Specificity,2.95,1,13,7,4,2.56,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Other Stressors,1.7,1,10,8,6,2.76,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Population Growth Rate,1.8,2,9,6,8,2.8,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Prey Specificity,2.95,23,2,0,0,1.08,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Sensitivity to Ocean Acidification,2,22,3,0,0,1.12,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Sensitivity to Temperature,3,17,8,0,0,1.32,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Spawning Cycle,2.2,2,9,13,1,2.52,Moderate,High,neva
American Eel,Diadromous,Sensitivity,Stock Size/Status,1,2,8,10,5,2.72,Moderate,High,neva
American Lobster,Shellfish,Exposure,Currents,1,3,11,6,0,2.15,High,Moderate,neva
American Lobster,Shellfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,5,4,10,1,2.35,High,Moderate,neva
American Lobster,Shellfish,Exposure,Mean Precipitation,3,16,4,0,0,1.2,High,Moderate,neva
American Lobster,Shellfish,Exposure,Mean Sea Surface Salinity,3,13,5,2,0,1.45,High,Moderate,neva
American Lobster,Shellfish,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,High,Moderate,neva
American Lobster,Shellfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Moderate,neva
American Lobster,Shellfish,Exposure,Sea Level Rise,1.5,14,6,0,0,1.3,High,Moderate,neva
American Lobster,Shellfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Moderate,neva
American Lobster,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Moderate,neva
American Lobster,Shellfish,Exposure,Variability in Precipitation,3,15,5,0,0,1.25,High,Moderate,neva
American Lobster,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Moderate,neva
American Lobster,Shellfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Moderate,neva
American Lobster,Shellfish,Sensitivity,Adult Mobility,2.4,4,15,6,0,2.08,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2.4,16,8,1,0,1.4,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Dispersal of Early Life Stages,2.8,5,18,2,0,1.88,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.6,2,11,12,0,2.4,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Habitat Specificity,3,12,12,1,0,1.56,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Other Stressors,2.4,1,10,13,1,2.56,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Population Growth Rate,2.7,0,4,9,12,3.32,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Prey Specificity,3,22,3,0,0,1.12,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Sensitivity to Ocean Acidification,2.6,10,7,3,5,2.12,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Sensitivity to Temperature,2.6,3,12,9,1,2.32,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Spawning Cycle,3,2,7,12,4,2.72,Moderate,Moderate,neva
American Lobster,Shellfish,Sensitivity,Stock Size/Status,1.7,5,10,8,2,2.28,Moderate,Moderate,neva
American Plaice,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,Low,neva
American Plaice,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Exposure,Mean Sea Surface Salinity,3,18,2,0,0,1.1,High,Low,neva
American Plaice,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Low,neva
American Plaice,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
American Plaice,Groundfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,Low,neva
American Plaice,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
American Plaice,Groundfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Low,neva
American Plaice,Groundfish,Sensitivity,Adult Mobility,2.6,2,11,11,1,2.44,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Complexity in Reproductive Strategy,2.7,12,11,2,0,1.6,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Dispersal of Early Life Stages,2.7,15,10,0,0,1.4,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.5,4,14,6,1,2.16,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Habitat Specificity,2.35,22,3,0,0,1.12,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Other Stressors,1.6,19,6,0,0,1.24,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Population Growth Rate,2.6,1,13,9,2,2.48,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Prey Specificity,2.8,5,17,3,0,1.92,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Sensitivity to Ocean Acidification,2.5,4,15,6,0,2.08,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Sensitivity to Temperature,2.8,9,12,4,0,1.8,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Spawning Cycle,2.9,2,19,4,0,2.08,Low,Low,neva
American Plaice,Groundfish,Sensitivity,Stock Size/Status,3,0,1,23,1,3,Low,Low,neva
American Shad,Diadromous,Exposure,Currents,1,7,8,3,2,2,Very High,Very High,neva
American Shad,Diadromous,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,Very High,neva
American Shad,Diadromous,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
American Shad,Diadromous,Exposure,Mean Sea Surface Salinity,3,11,7,2,0,1.55,Very High,Very High,neva
American Shad,Diadromous,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,Very High,neva
American Shad,Diadromous,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Very High,neva
American Shad,Diadromous,Exposure,Sea Level Rise,1.5,0,9,6,5,2.8,Very High,Very High,neva
American Shad,Diadromous,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Very High,neva
American Shad,Diadromous,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
American Shad,Diadromous,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,Very High,neva
American Shad,Diadromous,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
American Shad,Diadromous,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
American Shad,Diadromous,Sensitivity,Adult Mobility,2.8,17,6,2,0,1.4,High,Very High,neva
American Shad,Diadromous,Sensitivity,Complexity in Reproductive Strategy,2.8,0,2,13,10,3.32,High,Very High,neva
American Shad,Diadromous,Sensitivity,Dispersal of Early Life Stages,3,0,3,14,8,3.2,High,Very High,neva
American Shad,Diadromous,Sensitivity,Early Life History Survival and Settlement Requirements,2.75,0,3,11,11,3.32,High,Very High,neva
American Shad,Diadromous,Sensitivity,Habitat Specificity,2.6,4,4,7,10,2.92,High,Very High,neva
American Shad,Diadromous,Sensitivity,Other Stressors,2,0,1,6,18,3.68,High,Very High,neva
American Shad,Diadromous,Sensitivity,Population Growth Rate,2,3,12,9,1,2.32,High,Very High,neva
American Shad,Diadromous,Sensitivity,Prey Specificity,2.55,10,14,1,0,1.64,High,Very High,neva
American Shad,Diadromous,Sensitivity,Sensitivity to Ocean Acidification,2,17,7,1,0,1.36,High,Very High,neva
American Shad,Diadromous,Sensitivity,Sensitivity to Temperature,3,12,12,1,0,1.56,High,Very High,neva
American Shad,Diadromous,Sensitivity,Spawning Cycle,2.8,0,1,5,19,3.72,High,Very High,neva
American Shad,Diadromous,Sensitivity,Stock Size/Status,1.4,1,6,12,6,2.92,High,Very High,neva
Anchovies,Pelagics,Exposure,Currents,1,3,10,6,1,2.25,High,Low,neva
Anchovies,Pelagics,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,2,9,9,3.35,High,Low,neva
Anchovies,Pelagics,Exposure,Mean Precipitation,3,17,3,0,0,1.15,High,Low,neva
Anchovies,Pelagics,Exposure,Mean Sea Surface Salinity,3,0,9,10,1,2.6,High,Low,neva
Anchovies,Pelagics,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,High,Low,neva
Anchovies,Pelagics,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
Anchovies,Pelagics,Exposure,Sea Level Rise,1.5,2,10,8,0,2.3,High,Low,neva
Anchovies,Pelagics,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
Anchovies,Pelagics,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
Anchovies,Pelagics,Exposure,Variability in Precipitation,3,17,3,0,0,1.15,High,Low,neva
Anchovies,Pelagics,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
Anchovies,Pelagics,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,High,Low,neva
Anchovies,Pelagics,Sensitivity,Adult Mobility,2.4,2,16,7,0,2.2,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Complexity in Reproductive Strategy,2.2,18,7,0,0,1.28,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Dispersal of Early Life Stages,2.6,6,16,3,0,1.88,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Early Life History Survival and Settlement Requirements,2.2,2,9,13,1,2.52,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Habitat Specificity,3,13,11,1,0,1.52,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Other Stressors,2.2,6,11,7,1,2.12,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Population Growth Rate,2.8,21,4,0,0,1.16,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Prey Specificity,2.4,20,5,0,0,1.2,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Sensitivity to Ocean Acidification,2.4,14,11,0,0,1.44,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Sensitivity to Temperature,2.6,14,11,0,0,1.44,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Spawning Cycle,3,11,12,2,0,1.64,Low,Low,neva
Anchovies,Pelagics,Sensitivity,Stock Size/Status,1.4,12,9,3,1,1.72,Low,Low,neva
Atlantic Cod,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Mean Sea Surface Salinity,3,14,5,1,0,1.35,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Sea Level Rise,1.5,11,6,3,0,1.6,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Moderate,neva
Atlantic Cod,Groundfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Adult Mobility,2.8,3,14,8,0,2.2,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Complexity in Reproductive Strategy,2.9,1,13,11,0,2.4,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Dispersal of Early Life Stages,2.8,14,11,0,0,1.44,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.8,1,7,14,3,2.76,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Habitat Specificity,3,9,13,3,0,1.76,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Other Stressors,2.5,6,14,5,0,1.96,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Population Growth Rate,2.8,1,6,16,2,2.76,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Prey Specificity,3,19,6,0,0,1.24,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Sensitivity to Ocean Acidification,2,17,8,0,0,1.32,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Sensitivity to Temperature,3,7,12,6,0,1.96,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Spawning Cycle,3,4,18,3,0,1.96,Moderate,Moderate,neva
Atlantic Cod,Groundfish,Sensitivity,Stock Size/Status,3,0,0,3,22,3.88,Moderate,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Currents,1,7,8,3,2,2,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Mean Precipitation,3,16,4,0,0,1.2,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Mean Sea Surface Salinity,3,3,4,6,7,2.85,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Sea Level Rise,1.5,1,12,3,4,2.5,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Variability in Precipitation,3,14,6,0,0,1.3,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Moderate,neva
Atlantic Croaker,Coastal,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Adult Mobility,2.6,12,13,0,0,1.52,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Complexity in Reproductive Strategy,2.6,7,10,7,1,2.08,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Dispersal of Early Life Stages,2.6,6,17,2,0,1.84,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Early Life History Survival and Settlement Requirements,2.7,0,5,16,4,2.96,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Habitat Specificity,3,10,5,10,0,2,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Other Stressors,2.4,5,12,7,1,2.16,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Population Growth Rate,2.4,10,13,2,0,1.68,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Prey Specificity,3,17,8,0,0,1.32,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Sensitivity to Ocean Acidification,2,12,12,1,0,1.56,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Sensitivity to Temperature,3,15,9,1,0,1.44,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Spawning Cycle,3,6,17,2,0,1.84,Low,Moderate,neva
Atlantic Croaker,Coastal,Sensitivity,Stock Size/Status,1.6,9,11,3,2,1.92,Low,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Mean Sea Surface Salinity,3,14,4,2,0,1.4,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Moderate,neva
Atlantic Hagfish,Groundfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Adult Mobility,2.2,0,3,20,2,2.96,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Complexity in Reproductive Strategy,1,11,8,4,2,1.88,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Dispersal of Early Life Stages,1.4,3,9,6,7,2.68,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.1,22,3,0,0,1.12,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Habitat Specificity,3,20,5,0,0,1.2,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Other Stressors,1.1,16,5,2,2,1.6,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Population Growth Rate,0.6,5,6,9,5,2.56,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Prey Specificity,2.6,25,0,0,0,1,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Sensitivity to Ocean Acidification,1.95,12,13,0,0,1.52,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Sensitivity to Temperature,2.7,13,10,2,0,1.56,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Spawning Cycle,2.6,23,2,0,0,1.08,Moderate,Moderate,neva
Atlantic Hagfish,Groundfish,Sensitivity,Stock Size/Status,0.2,6,7,7,5,2.44,Moderate,Moderate,neva
Atlantic Halibut,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Mean Sea Surface Salinity,3,18,2,0,0,1.1,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,High,neva
Atlantic Halibut,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,High,neva
