"Survey name","Area and method","method","n stocks","n species","n stock-weighted vulnerability score","Vulnerability score","Productivity score","Susceptibility score"
"MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR)","Southeast Shelf visual","visual",8,8,1.18,1.1,2.25,1.76
"Reef Fish Integrated Visual Survey","Gulf of Mexico visual","visual",1,1,1.18,1.17,2,1.6
"SEAMAP-GOM Bottom Longline Survey","Gulf of Mexico hook and line","hook and line",3,3,1.18,1.15,2.1,1.7
"Sardine - Hake Acoustic Trawl Survey (SaKe)","West Coast bottom trawl","bottom trawl",1,1,1.18,1.17,1.83,1
"Southeast Fishery-Independent Survey (SEFIS)","Southeast Shelf visual","visual",9,9,1.18,1.09,2.24,1.74
"FWRI FIM Inshore Seine Survey","Gulf of Mexico inshore net","inshore net",1,1,1.15,1.14,2.14,1.75
"Fishery Independent Survey - Florida Fish & Wildlife Research Institute Video Survey (Part of three-survey abundance index)","Gulf of Mexico visual","visual",1,1,1.15,1.14,2.14,1.75
"Gulf Video Surveys","Gulf of Mexico visual","visual",1,1,1.15,1.14,2.14,1.75
"Florida Keys/Southeast Reef Fish Visual Census (RVC)","Southeast Shelf visual","visual",4,4,1.14,1.1,2.21,1.75
"Northeast Ecosystem Monitoring (EcoMon)_Fall","Northeast Shelf midwater trawl","midwater trawl",2,2,1.14,1.12,2.25,1.83
"SEAMAP South Atlantic Bottom Trawl_Summer","Southeast Shelf bottom trawl","bottom trawl",3,3,1.14,1.11,2.29,1.72
"North Carolina Pamlico Sound Independent Gillnet Survey","Northeast Shelf inshore net","inshore net",1,1,1.1,1.09,2.57,2
"Reef Fish Visual Census Survey - U.S. Caribbean","Caribbean Sea visual","visual",2,2,1.1,1.08,2.5,1.8
"Alaska Department of Fish and Game Large-mesh Trawl Survey of Gulf of Alaska and Eastern Aleutian Islands_Summer","Alaska bottom trawl","bottom trawl",1,1,1.08,1.07,2.17,1.67
"Aleutian Islands Cooperative Acoustic Survey Studies","Alaska acoustic-trawl","acoustic-trawl",1,1,1.08,1.07,2.17,1.67
"Bering Sea Biennial Walleye Pollock Accoustic_Summer","Alaska acoustic-trawl","acoustic-trawl",1,1,1.08,1.07,2.17,1.67
"California State University Northridge with Vantuna Research Group (CSUN/VRG) gillnet survey (1995-2008)","West Coast inshore net","inshore net",1,1,1.08,1.07,2.17,1.67
"MACE Kenai/PWS Pollock Acoustic Trawl_Winter","Alaska bottom trawl","bottom trawl",1,1,1.08,1.07,2.17,1.67
"MACE Shelikof Strait Pollock Acoustic Trawl_Winter","Alaska bottom trawl","bottom trawl",1,1,1.08,1.07,2.17,1.67
"Sanitation index Publicly Owned Treatment Works (POTW) trawl survey","West Coast bottom trawl","bottom trawl",1,1,1.08,1.07,2.17,1.67
"Southern California Bight Regional Monitoring Project Trawl Survey","West Coast bottom trawl","bottom trawl",1,1,1.08,1.07,2.17,1.67
"Massachusetts DMF Bottom Trawl_Fall","Northeast Shelf bottom trawl","bottom trawl",6,6,1.07,1.01,2.38,1.73
"SEAMAP-GOM Shrimp/Groundfish Trawl_Summer","Gulf of Mexico bottom trawl","bottom trawl",5,5,1.06,1.01,2.34,1.69
"Ecological Monitoring Trawl Survey (GADNR)","Southeast Shelf bottom trawl","bottom trawl",1,1,1.05,1.04,2.71,2
"SEAMAP-GOM Shrimp/Groundfish Trawl_Fall","Gulf of Mexico bottom trawl","bottom trawl",5,5,1.05,1,2.29,1.58
"SEAMAP Plankton_Fall","Gulf of Mexico midwater trawl","midwater trawl",2,2,1.01,0.99,2.21,1.57
"Epifaunal (small fish and macro-invertebrates) Sampling","Southeast Shelf visual","visual",1,1,0.95,0.94,2.43,1.75
"FWC-FWRI Baitfish Survey","Gulf of Mexico bottom trawl","bottom trawl",1,1,0.95,0.94,2.43,1.75
"FWC-FWRI Juvenile Seagrass Survey","Gulf of Mexico inshore net","inshore net",1,1,0.95,0.94,2.43,1.75
"Northeast Atlantic Benthic Habitat_Winter","Northeast Shelf visual","visual",1,1,0.95,0.94,2.33,1.67
"Northeast Ecosystem Monitoring (EcoMon)_Summer","Northeast Shelf midwater trawl","midwater trawl",3,3,0.95,0.92,2.44,1.72
"New Jersey DEP spring bottom trawl","Northeast Shelf bottom trawl","bottom trawl",2,2,0.9,0.88,2.64,1.8
"California Current Ecosystem Survey (CCES)","West Coast acoustic-trawl","acoustic-trawl",3,3,0.87,0.84,2.61,1.69
"Bottom Trawl Survey_Winter","Northeast Shelf bottom trawl","bottom trawl",4,4,0.8,0.76,2.56,1.61
"CT bottom trawl survey spring and fall","Northeast Shelf bottom trawl","bottom trawl",3,3,0.79,0.76,2.71,1.7
"CDFG and Interagency Ecological Program Pre-Recruit Survey","West Coast midwater trawl","midwater trawl",1,1,0.77,0.76,2.43,1.5
"Massachusetts DMF Bottom Trawl_Spring","Northeast Shelf bottom trawl","bottom trawl",4,4,0.77,0.73,2.61,1.61
"SEAMAP-GOM Shrimp/Groundfish Trawl_Spring","Gulf of Mexico bottom trawl","bottom trawl",1,1,0.76,0.75,3,1.75
"Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS)","Northeast Shelf bottom trawl","bottom trawl",5,5,0.73,0.68,2.74,1.62
"DE DFW spring trawl","Northeast Shelf bottom trawl","bottom trawl",1,1,0.67,0.66,2.71,1.6
"Maryland DNR inshore trawl survey","Northeast Shelf bottom trawl","bottom trawl",1,1,0.67,0.66,2.71,1.6
"New York DEC juvenile seine","Northeast Shelf inshore net","inshore net",1,1,0.67,0.66,2.71,1.6
"Rhode Island DFW spring trawl","Northeast Shelf bottom trawl","bottom trawl",1,1,0.67,0.66,2.71,1.6
"VIMS ChesMMAP bottom trawl","Northeast Shelf bottom trawl","bottom trawl",2,2,0.62,0.6,2.77,1.55
"DE, NY, NJ trawl surveys","Northeast Shelf bottom trawl","bottom trawl",1,1,0.54,0.53,2.83,1.5
"RI trawl survey","Northeast Shelf bottom trawl","bottom trawl",1,1,0.54,0.53,2.83,1.5
"URI GSO trawl survey","Northeast Shelf bottom trawl","bottom trawl",1,1,0.54,0.53,2.83,1.5
