Ecosystem,Survey Type,Survey Name,Entity Name,Assessment Year,Assessment Month,Degree of Influence
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Sculpin Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Shark Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Skate Complex,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Bering Sea / Aleutian Islands Squid Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Flathead sole - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Giant octopus - Bering Sea / Aleutian Islands,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Kamchatka flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Northern rockfish - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Pacific cod - Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Pacific cod - Bering Sea / Aleutian Islands,2012,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Pacific ocean perch - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Rougheye rockfish - Bering Sea / Aleutian Islands | Status & ACL,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Shortraker rockfish - Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Aleutian Island Bottom Trawl_Summer,Walleye pollock - Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Gulf of Alaska Bottom Trawl_Summer,North Pacific spiny dogfish - Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP Gulf of Alaska Bottom Trawl_Summer,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Alaska plaice - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Alaska skate - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Aleutian Islands Blackspotted and Rougheye rockfish Complex | Asmt,2008,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Arrowtooth flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Flatfish Complex,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Skates Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Sculpin Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Shark Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Skate Complex,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Bering Sea / Aleutian Islands Squid Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Blue king crab - Pribilof Islands,2023,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex | Asmt,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Flathead sole - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Giant octopus - Bering Sea / Aleutian Islands,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Kamchatka flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Northern rock sole - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Pacific cod - Bering Sea,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Pacific cod - Bering Sea / Aleutian Islands,2012,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Pacific ocean perch - Bering Sea / Aleutian Islands,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Red king crab - Bristol Bay,2023,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Red king crab - Norton Sound,2024,2,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Red king crab - Pribilof Islands,2022,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Snow crab - Bering Sea,2023,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Southern Tanner crab - Bering Sea,2023,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Walleye pollock - Eastern Bering Sea,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Bottom Trawl_Summer,Yellowfin sole - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Alaska skate - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Arrowtooth flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Rockfish Complex,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Other Skates Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Sculpin Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Shark Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Skate Complex,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Bering Sea / Aleutian Islands Squid Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Blue king crab - Saint Matthew Island,2022,10,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Giant octopus - Bering Sea / Aleutian Islands,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Greenland halibut - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Kamchatka flounder - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Northern rockfish - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Rougheye rockfish - Bering Sea / Aleutian Islands | Status & ACL,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GAP-SAP Eastern Bering Sea Slope Bottom Trawl_Summer,Shortraker rockfish - Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Arrowtooth flounder - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Atka mackerel - Gulf of Alaska,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Big skate - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Dover sole - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Dusky rockfish - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Flathead sole - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Deepwater Flatfish Complex,2016,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Rockfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Shallow Water Flatfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Sculpin Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Shark Complex,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Skate Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Squid Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Longnose skate - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Northern rock sole - Central Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Northern rock sole - Gulf of Alaska,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Northern rock sole - Western Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Northern rockfish - Western / Central Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Pacific cod - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Pacific ocean perch - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rex sole - Eastern Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rex sole - Gulf of Alaska,2019,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rex sole - Western / Central Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rock sole - Central Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rock sole - Gulf of Alaska,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rock sole - Western Gulf of Alaska | Asmt,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Rougheye rockfish - Gulf of Alaska,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Sharpchin rockfish - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Shortraker rockfish - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Shortspine thornyhead - Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Walleye pollock - Southeast Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MACE Bogoslof Pollock Acoustic Trawl_Winter,Walleye pollock - Bogoslof,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MACE Kenai/PWS Pollock Acoustic Trawl_Winter,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,2023,12,Secondary
Alaska Ecosystem Complex,FINSS Survey,MACE Shelikof Strait Pollock Acoustic Trawl_Winter,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Bering Sea / Aleutian Islands Shark Complex,2016,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Greenland halibut - Bering Sea / Aleutian Islands,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Gulf of Alaska Shark Complex,2020,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Longnose skate - Gulf of Alaska,2023,12,Exploratory
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Pacific cod - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Rougheye rockfish - Gulf of Alaska,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Shortraker rockfish - Gulf of Alaska,2023,12,Primary
Alaska Ecosystem Complex,FINSS Survey,MESA Gulf of Alaska & Eastern Bering Sea & Aleutian Islands Longline_Summer,Shortspine thornyhead - Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,Other Method,ADFG coded wire tagging,Coho salmon - Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Other Method,ADFG coded wire tagging,Coho salmon - Hugh Smith Lake,2022,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at adult counting weirs,Coho salmon - Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Auke Creek,2022,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Berners River,2022,7,Primary
Alaska Ecosystem Complex,Other Method,ADFG sampling/counting adult escapement at counting weirs,Coho salmon - Hugh Smith Lake,2022,7,Primary
Alaska Ecosystem Complex,Other Method,ADGF coded wire tagging,Coho salmon - Auke Creek,2022,7,Primary
Alaska Ecosystem Complex,Other Method,ADGF coded wire tagging,Coho salmon - Berners River,2022,7,Primary
Alaska Ecosystem Complex,Other Method,Observer Data,Southern Tanner crab - Bering Sea,2023,10,Secondary
Alaska Ecosystem Complex,Other Method,Tag / Recapture data,Golden king crab - Eastern Aleutian Islands | Asmt,2024,6,Primary
Alaska Ecosystem Complex,Other Survey,ADF&G Pot Survey,Blue king crab - Saint Matthew Island,2022,10,Primary
Alaska Ecosystem Complex,Other Survey,ADF&G Pot Surveys,Golden king crab - Eastern Aleutian Islands | Asmt,2024,6,Exploratory
Alaska Ecosystem Complex,Other Survey,ADFG Summer Trawl Survey for NSRKC,Red king crab - Norton Sound,2024,2,Primary
Alaska Ecosystem Complex,Other Survey,Alaska Department of FIsh and Game biennial dredge survey for scallops in Kamishak Bay and Kayak Island,Weathervane scallop - Alaska,2024,4,Primary
Alaska Ecosystem Complex,Other Survey,Alaska Department of Fish and Game SEO ROV survey,Yelloweye rockfish - Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,Other Survey,Alaska Department of Fish and Game SEO Submersible Survey,Yelloweye rockfish - Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,Other Survey,"Cooperative U.S.-Japan trawl survey from 1979-1985 on the EBS slope, and from 1980-1986 in the AI",Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,2023,12,Exploratory
Alaska Ecosystem Complex,Other Survey,IPHC Longline Survey,Pacific cod - Gulf of Alaska,2023,12,Exploratory
Alaska Ecosystem Complex,Other Survey,IPHC Survey,Gulf of Alaska Shark Complex,2020,12,Exploratory
Alaska Ecosystem Complex,Other Survey,International Pacific Halibut Commission longline survey (1997-present),Bering Sea / Aleutian Islands Shark Complex,2016,12,Exploratory
Alaska Ecosystem Complex,Other Survey,Postseason pot survey,Red king crab - Norton Sound,2024,2,Exploratory
Alaska Ecosystem Complex,Other Survey,Preseason pot survey,Red king crab - Norton Sound,2024,2,Exploratory
Alaska Ecosystem Complex,Other Survey,Summer pot survey,Red king crab - Norton Sound,2024,2,Exploratory
Alaska Ecosystem Complex,Other Survey,Summer preseason survey,Red king crab - Norton Sound,2024,2,Exploratory
Alaska Ecosystem Complex,Other Survey,Winter pot survey - ADFG,Red king crab - Norton Sound,2024,2,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Auke Creek,2022,7,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Berners River,2022,7,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Ford Arm Lake,2016,8,Primary
Alaska Ecosystem Complex,Recreational CPUE,Recreational CPUE,Coho salmon - Hugh Smith Lake,2022,7,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Albacore - North Atlantic,2023,7,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Bigeye tuna - Atlantic,2021,10,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blacknose shark - Atlantic,2011,4,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blacktip shark - Atlantic,2021,1,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blue marlin - Atlantic,2024,9,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blue shark - Atlantic,2023,9,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Bluefin tuna - Western Atlantic,2021,10,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Dusky shark - Atlantic,2016,9,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Porbeagle - Atlantic,2021,1,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Sailfish - Western Atlantic,2023,7,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Skipjack tuna - Western Atlantic,2022,5,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Swordfish - North Atlantic,2022,6,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,White marlin - Atlantic,2019,10,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Yellowfin tuna - Western Atlantic,2024,7,Primary
Atlantic Highly Migratory,FINSS Survey,Bottom Trawl Survey_Fall,Smooth dogfish - Atlantic,2015,3,Primary
Atlantic Highly Migratory,FINSS Survey,Coastal Shark Bottom Longline,Blacktip shark - Atlantic,2021,1,Primary
